layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
2,7,subspace_k64_fixed,64,8,512,4bit_budget,24,1.2445770900279605e-05,0.002717514171057823,6.178042366126724e-06,0.0027073066407614934,0.72265625
2,7,subspace_adaptive,24,21,504,4bit_budget,24,5.719118624964216e-05,0.005776694882076347,2.8346416855354206e-05,0.005751351435963045,0.5703125
3,0,full_dim,128,2,256,2bit_budget,27,0.0003466536509851702,0.014391887070435493,0.00017217202040940448,0.014343065918685467,0.37890625
3,0,subspace_k64_fixed,64,4,256,2bit_budget,27,4.80546654822574e-05,0.0053728050035721075,2.394125345299755e-05,0.005363437244420808,0.6796875
3,0,subspace_adaptive,27,9,243,2bit_budget,27,0.00013968114049280682,0.009153606786809461,6.949425232047015e-05,0.009130889535037504,0.47265625
3,0,full_dim,128,4,512,4bit_budget,27,1.3689902369772573e-05,0.0028663342520098244,6.806747927423945e-06,0.0028601647403875166,0.82421875
3,0,subspace_k64_fixed,64,8,512,4bit_budget,27,3.6902628768102844e-05,0.004696770388754814,1.8373609409562362e-05,0.004686982964624006,0.7734375
3,0,subspace_adaptive,27,19,513,4bit_budget,27,0.00013974001527345827,0.009155658561115861,6.952410798351992e-05,0.009132913190136784,0.47265625
3,1,full_dim,128,2,256,2bit_budget,22,0.00031218960613371867,0.01364114058783014,0.00015550407907138255,0.01361067190921049,0.37890625
3,1,subspace_k64_fixed,64,4,256,2bit_budget,22,5.019763948935863e-05,0.005423556939627377,2.5017713996503866e-05,0.005416568137987694,0.640625
3,1,subspace_adaptive,22,12,264,2bit_budget,22,0.00011106251653893612,0.00813151853113529,5.5109271222310226e-05,0.008102716274473933,0.46484375
3,1,full_dim,128,4,512,4bit_budget,22,1.2255912703168747e-05,0.0026704928832701146,6.1015217463698915e-06,0.002665022829003276,0.80078125
3,1,subspace_k64_fixed,64,8,512,4bit_budget,22,3.768558579494029e-05,0.004714329553704444,1.8768976696819254e-05,0.0047052818820369985,0.671875
3,1,subspace_adaptive,22,23,506,4bit_budget,22,0.0001110687473163047,0.008131713465902492,5.511217112525768e-05,0.008102864050930334,0.46484375
3,2,full_dim,128,2,256,2bit_budget,21,0.00022642652264539376,0.01166906158289517,0.00011245567698734175,0.011632069749499832,0.421875
3,2,subspace_k64_fixed,64,4,256,2bit_budget,21,3.7455351491356616e-05,0.0047385630163471,1.8606181612234824e-05,0.004722776762393376,0.7109375
3,2,subspace_adaptive,21,12,252,2bit_budget,21,0.00010779396506992048,0.00798832065388377,5.3555830213351115e-05,0.007960629743007779,0.5703125
3,2,full_dim,128,4,512,4bit_budget,21,9.120808795585898e-06,0.002345319357250203,4.542994903719452e-06,0.0023420488266770035,0.83203125
3,2,subspace_k64_fixed,64,8,512,4bit_budget,21,2.8786923825231437e-05,0.004147072502010833,1.4226223013263707e-05,0.004119968319357618,0.74609375
3,2,subspace_adaptive,21,24,504,4bit_budget,21,0.0001077880261588145,0.007988057478873678,5.35525558398568e-05,0.007960361393057051,0.5703125
3,3,full_dim,128,2,256,2bit_budget,21,0.00024911612439801274,0.01221453699211441,0.00012401258948621205,0.012182623645731111,0.34375
3,3,subspace_k64_fixed,64,4,256,2bit_budget,21,3.558531454208664e-05,0.0046024135014676665,1.7688065740405074e-05,0.004591376925420515,0.66015625
3,3,subspace_adaptive,21,12,252,2bit_budget,21,9.784426224967027e-05,0.007632775948733895,4.8757560755855054e-05,0.007623402469202166,0.47265625
3,3,full_dim,128,4,512,4bit_budget,21,1.0140471380674682e-05,0.002452580025757564,5.056576174933811e-06,0.002448622783458754,0.8359375
3,3,subspace_k64_fixed,64,8,512,4bit_budget,21,2.4749996134512885e-05,0.0038511489071686965,1.2292807651882639e-05,0.0038381720906218338,0.72265625
3,3,subspace_adaptive,21,24,504,4bit_budget,21,9.78426721709446e-05,0.007632705104204204,4.875692827592451e-05,0.007623355842214014,0.47265625
3,4,full_dim,128,2,256,2bit_budget,23,0.00023010948188131235,0.011694341703316888,0.00011481945134476937,0.011681589783167821,0.40234375
3,4,subspace_k64_fixed,64,4,256,2bit_budget,23,3.853476157998894e-05,0.0048061046031051685,1.9150346330707234e-05,0.004789073115134831,0.6328125
3,4,subspace_adaptive,23,11,253,2bit_budget,23,8.429432836286669e-05,0.007115359444948176,4.199955337034653e-05,0.007100026243938198,0.55078125
3,4,full_dim,128,4,512,4bit_budget,23,8.946227692055842e-06,0.002321893394282276,4.459389770570209e-06,0.0023189377719777813,0.80859375
3,4,subspace_k64_fixed,64,8,512,4bit_budget,23,2.952695494052335e-05,0.004191881594115949,1.4646679327589985e-05,0.004173267736719813,0.68359375
3,4,subspace_adaptive,23,22,506,4bit_budget,23,8.429023419261435e-05,0.007115256431429689,4.19977926990503e-05,0.007100007556570594,0.55078125
3,5,full_dim,128,2,256,2bit_budget,19,0.0002755745975165527,0.012815688238292534,0.0001366675165797309,0.012776074929848282,0.37890625
3,5,subspace_k64_fixed,64,4,256,2bit_budget,19,3.900386560533802e-05,0.004816844679211729,1.9434824485907082e-05,0.004807489866572481,0.6875
3,5,subspace_adaptive,19,13,247,2bit_budget,19,0.00010862713735977373,0.00803729732311972,5.3865049694181225e-05,0.00799877318852106,0.53125
3,5,full_dim,128,4,512,4bit_budget,19,1.218323733218806e-05,0.0026843818207387023,6.0731479655618486e-06,0.002680130770185308,0.81640625
3,5,subspace_k64_fixed,64,8,512,4bit_budget,19,2.894689925573472e-05,0.004110115034388605,1.4325747899912942e-05,0.0040830290905241005,0.7421875
3,5,subspace_adaptive,19,27,513,4bit_budget,19,0.00010862229909340882,0.008037164402054176,5.386285325285473e-05,0.007998653822866564,0.53125
3,6,full_dim,128,2,256,2bit_budget,22,0.0001396744595719661,0.00918799174607976,6.969993546826082e-05,0.009177593663600282,0.42578125
3,6,subspace_k64_fixed,64,4,256,2bit_budget,22,2.2375705772982857e-05,0.0036659044819713628,1.1136667537618548e-05,0.003656124851064865,0.6640625
