config,position,loss,ppl
baseline,636,0.951171875,2.587890625
baseline,637,0.1695556640625,1.1845703125
baseline,638,3.11328125,22.5
baseline,639,6.9921875,1088.0
baseline,640,0.0577392578125,1.0595703125
baseline,641,0.1533203125,1.166015625
baseline,642,0.2308349609375,1.259765625
baseline,643,0.06610107421875,1.068359375
baseline,644,5.51171875,247.625
baseline,645,0.046478271484375,1.0478515625
baseline,646,1.2021484375,3.328125
baseline,647,0.2578125,1.2939453125
baseline,648,0.1243896484375,1.1328125
baseline,649,0.00799560546875,1.0078125
baseline,650,0.63818359375,1.892578125
baseline,651,3.017578125,20.4375
baseline,652,1.548828125,4.70703125
baseline,653,2.158203125,8.65625
baseline,654,3.431640625,30.921875
baseline,655,14.1953125,inf
baseline,656,4.8359375,125.9375
baseline,657,0.7158203125,2.044921875
baseline,658,0.05096435546875,1.052734375
baseline,659,8.171875,3540.0
baseline,660,4.48828125,88.9375
baseline,661,1.2919921875,3.640625
baseline,662,0.00312042236328125,1.0029296875
baseline,663,0.0196990966796875,1.01953125
baseline,664,5.1484375,172.125
baseline,665,2.751953125,15.671875
baseline,666,2.779296875,16.109375
baseline,667,0.192138671875,1.2119140625
baseline,668,1.9311904907226562e-05,1.0
baseline,669,5.5234375,250.5
baseline,670,3.75,42.53125
baseline,671,0.0171051025390625,1.017578125
baseline,672,5.51953125,249.5
baseline,673,2.18359375,8.875
baseline,674,0.75048828125,2.1171875
baseline,675,1.1572265625,3.181640625
baseline,676,3.990234375,54.0625
baseline,677,0.006549835205078125,1.0068359375
baseline,678,5.07421875,159.875
baseline,679,6.77734375,877.5
baseline,680,3.978515625,53.4375
baseline,681,0.027008056640625,1.02734375
baseline,682,4.109375,60.90625
baseline,683,1.279296875,3.59375
baseline,684,4.70703125,110.75
baseline,685,1.2841796875,3.611328125
baseline,686,2.455078125,11.6484375
baseline,687,0.64599609375,1.908203125
baseline,688,9.0078125,8168.0
baseline,689,0.380859375,1.4638671875
baseline,690,0.294189453125,1.341796875
baseline,691,9.0,8104.0
baseline,692,0.316162109375,1.3720703125
baseline,693,0.005519866943359375,1.005859375
baseline,694,1.1552734375,3.17578125
baseline,695,0.123779296875,1.1318359375
baseline,696,8.8671875,7096.0
baseline,697,1.33203125,3.7890625
baseline,698,2.119140625,8.3203125
baseline,699,1.4033203125,4.0703125
baseline,700,7.39453125,1627.0
baseline,701,2.25,9.484375
baseline,702,4.359375,78.1875
baseline,703,3.82421875,45.8125
baseline,704,2.6015625,13.484375
baseline,705,0.8759765625,2.400390625
baseline,706,1.533203125,4.6328125
baseline,707,0.360595703125,1.4345703125
baseline,708,1.849609375,6.35546875
baseline,709,0.322021484375,1.3798828125
baseline,710,0.1221923828125,1.1298828125
baseline,711,0.005329132080078125,1.0048828125
baseline,712,4.21484375,67.6875
baseline,713,1.015625,2.76171875
baseline,714,5.078125,160.5
baseline,715,0.5810546875,1.7880859375
baseline,716,7.2734375,1441.0
baseline,717,5.9604644775390625e-06,1.0
baseline,718,0.08184814453125,1.0849609375
baseline,719,0.33203125,1.3935546875
baseline,720,0.36572265625,1.44140625
baseline,721,0.00917816162109375,1.0087890625
baseline,722,4.51953125,91.8125
baseline,723,3.5078125,33.375
baseline,724,0.11767578125,1.125
baseline,725,0.07220458984375,1.0751953125
baseline,726,1.0302734375,2.802734375
baseline,727,4.03515625,56.5625
baseline,728,1.068359375,2.91015625
baseline,729,0.95361328125,2.595703125
baseline,730,1.1357421875,3.11328125
baseline,731,8.03125,3076.0
baseline,732,0.00014841556549072266,1.0
baseline,733,1.1682510375976562e-05,1.0
baseline,734,0.006687164306640625,1.0068359375
baseline,735,2.619140625,13.7265625
baseline,736,0.033416748046875,1.0341796875
baseline,737,7.66796875,2138.0
baseline,738,3.896484375,49.21875
baseline,739,1.7705078125,5.875
baseline,740,1.794921875,6.01953125
baseline,741,1.0263671875,2.791015625
baseline,742,0.80419921875,2.234375
baseline,743,4.5546875,95.0625
baseline,744,2.53515625,12.6171875
baseline,745,1.439453125,4.21875
baseline,746,4.80859375,122.5625
baseline,747,1.5634765625,4.77734375
baseline,748,5.796875,329.25
baseline,749,0.287353515625,1.3330078125
baseline,750,4.5703125,96.5625
baseline,751,0.372314453125,1.451171875
baseline,752,2.640625,14.0234375
baseline,753,7.29296875,1470.0
baseline,754,0.00997161865234375,1.009765625
baseline,755,0.00384521484375,1.00390625
baseline,756,9.179115295410156e-06,1.0
