reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_late,37,3,K,0.8964718580245972,64,0.8964718580245972
early,mid_late,37,3,V,0.6257386207580566,64,0.6257386207580566
early,mid_late,37,4,K,0.7355709075927734,64,0.7355709075927734
early,mid_late,37,4,V,0.6791175007820129,64,0.6791175007820129
early,mid_late,37,5,K,0.8734686374664307,64,0.8734686374664307
early,mid_late,37,5,V,0.6669538021087646,64,0.6669538021087646
early,mid_late,37,6,K,0.7389959692955017,64,0.7389959692955017
early,mid_late,37,6,V,0.6605219841003418,64,0.6605219841003418
early,mid_late,37,7,K,0.7049452066421509,64,0.7049452066421509
early,mid_late,37,7,V,0.6834509372711182,64,0.6834509372711182
early,mid_late,38,0,K,0.7424414157867432,64,0.7424414157867432
early,mid_late,38,0,V,0.6309261322021484,64,0.6309261322021484
early,mid_late,38,1,K,0.8086314797401428,64,0.8086314797401428
early,mid_late,38,1,V,0.6349481344223022,64,0.6349481344223022
early,mid_late,38,2,K,0.800733745098114,64,0.800733745098114
early,mid_late,38,2,V,0.6211374402046204,64,0.6211374402046204
early,mid_late,38,3,K,0.8206026554107666,64,0.8206026554107666
early,mid_late,38,3,V,0.6074286699295044,64,0.6074286699295044
early,mid_late,38,4,K,0.8269938230514526,64,0.8269938230514526
early,mid_late,38,4,V,0.6328502297401428,64,0.6328502297401428
early,mid_late,38,5,K,0.8145231008529663,64,0.8145231008529663
early,mid_late,38,5,V,0.6243284940719604,64,0.6243284940719604
early,mid_late,38,6,K,0.8237724304199219,64,0.8237724304199219
early,mid_late,38,6,V,0.7113324403762817,64,0.7113324403762817
early,mid_late,38,7,K,0.9068541526794434,64,0.9068541526794434
early,mid_late,38,7,V,0.6300703883171082,64,0.6300703883171082
early,mid_late,39,0,K,0.7561134099960327,64,0.7561134099960327
early,mid_late,39,0,V,0.6061704754829407,64,0.6061704754829407
early,mid_late,39,1,K,0.7794286012649536,64,0.7794286012649536
early,mid_late,39,1,V,0.6123197078704834,64,0.6123197078704834
early,mid_late,39,2,K,0.8149063587188721,64,0.8149063587188721
early,mid_late,39,2,V,0.6518441438674927,64,0.6518441438674927
early,mid_late,39,3,K,0.8433824777603149,64,0.8433824777603149
early,mid_late,39,3,V,0.6948660016059875,64,0.6948660016059875
early,mid_late,39,4,K,0.7835054397583008,64,0.7835054397583008
early,mid_late,39,4,V,0.5986727476119995,64,0.5986727476119995
early,mid_late,39,5,K,0.7042333483695984,64,0.7042333483695984
early,mid_late,39,5,V,0.6662747859954834,64,0.6662747859954834
early,mid_late,39,6,K,0.7476915121078491,64,0.7476915121078491
early,mid_late,39,6,V,0.6299616694450378,64,0.6299616694450378
early,mid_late,39,7,K,0.8040984272956848,64,0.8040984272956848
early,mid_late,39,7,V,0.7192145586013794,64,0.7192145586013794
early,late,0,0,K,0.6471933126449585,64,0.6471933126449585
early,late,0,0,V,0.6910618543624878,64,0.6910618543624878
early,late,0,1,K,0.8382698893547058,64,0.8382698893547058
early,late,0,1,V,0.7165294289588928,64,0.7165294289588928
early,late,0,2,K,0.6646159291267395,64,0.6646159291267395
early,late,0,2,V,0.7231872081756592,64,0.7231872081756592
early,late,0,3,K,0.740128219127655,64,0.740128219127655
early,late,0,3,V,0.8140056729316711,64,0.8140056729316711
early,late,0,4,K,0.8466163873672485,64,0.8466163873672485
early,late,0,4,V,0.7102327346801758,64,0.7102327346801758
early,late,0,5,K,0.7639805674552917,64,0.7639805674552917
early,late,0,5,V,0.7356535196304321,64,0.7356535196304321
early,late,0,6,K,0.6907477378845215,64,0.6907477378845215
early,late,0,6,V,0.6833724975585938,64,0.6833724975585938
early,late,0,7,K,0.6590308547019958,64,0.6590308547019958
early,late,0,7,V,0.6617369651794434,64,0.6617369651794434
early,late,1,0,K,0.8498234152793884,64,0.8498234152793884
early,late,1,0,V,0.733748197555542,64,0.733748197555542
early,late,1,1,K,0.8779101371765137,64,0.8779101371765137
early,late,1,1,V,0.8448997735977173,64,0.8448997735977173
early,late,1,2,K,0.8709360361099243,64,0.8709360361099243
early,late,1,2,V,0.7968659400939941,64,0.7968659400939941
early,late,1,3,K,0.8959053754806519,64,0.8959053754806519
early,late,1,3,V,0.8597251176834106,64,0.8597251176834106
early,late,1,4,K,0.8839972615242004,64,0.8839972615242004
early,late,1,4,V,0.8135948181152344,64,0.8135948181152344
early,late,1,5,K,0.8657009601593018,64,0.8657009601593018
early,late,1,5,V,0.799026370048523,64,0.799026370048523
early,late,1,6,K,0.8640631437301636,64,0.8640631437301636
early,late,1,6,V,0.7931599617004395,64,0.7931599617004395
early,late,1,7,K,0.9347690939903259,64,0.9347690939903259
early,late,1,7,V,0.8863967657089233,64,0.8863967657089233
early,late,2,0,K,0.8596712350845337,64,0.8596712350845337
early,late,2,0,V,0.8226991891860962,64,0.8226991891860962
early,late,2,1,K,0.8577713966369629,64,0.8577713966369629
early,late,2,1,V,0.8142235279083252,64,0.8142235279083252
early,late,2,2,K,0.8413032293319702,64,0.8413032293319702
early,late,2,2,V,0.7654829025268555,64,0.7654829025268555
early,late,2,3,K,0.8009170293807983,64,0.8009170293807983
early,late,2,3,V,0.7500512003898621,64,0.7500512003898621
early,late,2,4,K,0.7969720363616943,64,0.7969720363616943
early,late,2,4,V,0.773169994354248,64,0.773169994354248
early,late,2,5,K,0.8031737804412842,64,0.8031737804412842
early,late,2,5,V,0.7547650337219238,64,0.7547650337219238
early,late,2,6,K,0.8173277974128723,64,0.8173277974128723
early,late,2,6,V,0.7683250308036804,64,0.7683250308036804
early,late,2,7,K,0.8977382183074951,64,0.8977382183074951
early,late,2,7,V,0.7857527732849121,64,0.7857527732849121
early,late,3,0,K,0.8885350227355957,64,0.8885350227355957
early,late,3,0,V,0.8012537956237793,64,0.8012537956237793
early,late,3,1,K,0.7830412983894348,64,0.7830412983894348
early,late,3,1,V,0.7025957107543945,64,0.7025957107543945
early,late,3,2,K,0.8549191951751709,64,0.8549191951751709
early,late,3,2,V,0.7914153933525085,64,0.7914153933525085
early,late,3,3,K,0.828485369682312,64,0.828485369682312
early,late,3,3,V,0.7734585404396057,64,0.7734585404396057
early,late,3,4,K,0.8497148752212524,64,0.8497148752212524
early,late,3,4,V,0.7133014798164368,64,0.7133014798164368
early,late,3,5,K,0.8447315096855164,64,0.8447315096855164
early,late,3,5,V,0.7977859973907471,64,0.7977859973907471
early,late,3,6,K,0.834547758102417,64,0.834547758102417
early,late,3,6,V,0.7879676818847656,64,0.7879676818847656
early,late,3,7,K,0.8761610984802246,64,0.8761610984802246
early,late,3,7,V,0.7815160751342773,64,0.7815160751342773
early,late,4,0,K,0.8242855668067932,64,0.8242855668067932
early,late,4,0,V,0.7673566341400146,64,0.7673566341400146
early,late,4,1,K,0.8403002023696899,64,0.8403002023696899
early,late,4,1,V,0.798178493976593,64,0.798178493976593
early,late,4,2,K,0.8203474283218384,64,0.8203474283218384
early,late,4,2,V,0.8014885187149048,64,0.8014885187149048
early,late,4,3,K,0.8394865989685059,64,0.8394865989685059
early,late,4,3,V,0.7672146558761597,64,0.7672146558761597
early,late,4,4,K,0.8111264705657959,64,0.8111264705657959
early,late,4,4,V,0.7755144238471985,64,0.7755144238471985
early,late,4,5,K,0.8048792481422424,64,0.8048792481422424
early,late,4,5,V,0.7390804290771484,64,0.7390804290771484
early,late,4,6,K,0.8017092943191528,64,0.8017092943191528
early,late,4,6,V,0.6544880867004395,64,0.6544880867004395
early,late,4,7,K,0.7832841873168945,64,0.7832841873168945
early,late,4,7,V,0.7014600038528442,64,0.7014600038528442
early,late,5,0,K,0.8832898736000061,64,0.8832898736000061
early,late,5,0,V,0.7696800827980042,64,0.7696800827980042
early,late,5,1,K,0.852871298789978,64,0.852871298789978
early,late,5,1,V,0.8055477738380432,64,0.8055477738380432
early,late,5,2,K,0.8045382499694824,64,0.8045382499694824
early,late,5,2,V,0.6989941596984863,64,0.6989941596984863
early,late,5,3,K,0.9611273407936096,64,0.9611273407936096
early,late,5,3,V,0.8417019248008728,64,0.8417019248008728
early,late,5,4,K,0.8608410358428955,64,0.8608410358428955
early,late,5,4,V,0.8007360696792603,64,0.8007360696792603
early,late,5,5,K,0.8272920846939087,64,0.8272920846939087
early,late,5,5,V,0.8026900887489319,64,0.8026900887489319
early,late,5,6,K,0.8276695013046265,64,0.8276695013046265
early,late,5,6,V,0.7978255748748779,64,0.7978255748748779
early,late,5,7,K,0.8252121210098267,64,0.8252121210098267
early,late,5,7,V,0.7227386236190796,64,0.7227386236190796
early,late,6,0,K,0.8430262804031372,64,0.8430262804031372
early,late,6,0,V,0.7449706792831421,64,0.7449706792831421
early,late,6,1,K,0.824299693107605,64,0.824299693107605
early,late,6,1,V,0.8258841633796692,64,0.8258841633796692
early,late,6,2,K,0.8357847332954407,64,0.8357847332954407
early,late,6,2,V,0.6957710981369019,64,0.6957710981369019
early,late,6,3,K,0.8326772451400757,64,0.8326772451400757
early,late,6,3,V,0.7786802053451538,64,0.7786802053451538
early,late,6,4,K,0.7736428380012512,64,0.7736428380012512
early,late,6,4,V,0.7186081409454346,64,0.7186081409454346
early,late,6,5,K,0.8345810770988464,64,0.8345810770988464
early,late,6,5,V,0.7731903791427612,64,0.7731903791427612
early,late,6,6,K,0.8514056205749512,64,0.8514056205749512
early,late,6,6,V,0.7756679654121399,64,0.7756679654121399
early,late,6,7,K,0.813764214515686,64,0.813764214515686
early,late,6,7,V,0.7216365337371826,64,0.7216365337371826
early,late,7,0,K,0.7740206718444824,64,0.7740206718444824
early,late,7,0,V,0.7316488027572632,64,0.7316488027572632
early,late,7,1,K,0.8137418627738953,64,0.8137418627738953
early,late,7,1,V,0.7139673829078674,64,0.7139673829078674
early,late,7,2,K,0.770700216293335,64,0.770700216293335
early,late,7,2,V,0.7185107469558716,64,0.7185107469558716
early,late,7,3,K,0.7945407629013062,64,0.7945407629013062
early,late,7,3,V,0.6156414747238159,64,0.6156414747238159
early,late,7,4,K,0.773059606552124,64,0.773059606552124
early,late,7,4,V,0.7248715162277222,64,0.7248715162277222
early,late,7,5,K,0.7715696096420288,64,0.7715696096420288
early,late,7,5,V,0.5917083024978638,64,0.5917083024978638
early,late,7,6,K,0.8033919334411621,64,0.8033919334411621
early,late,7,6,V,0.7269414067268372,64,0.7269414067268372
