layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
11,7,oracle,64,8,512,4bit,0.00026389511123371364,0.012535504885243832,0.00013162190000424242,0.01242960844006644,0.8544921875
11,7,transfer,64,8,512,4bit,0.0011065003723156855,0.025754054973733523,0.00046909487041990394,0.0234913387211347,0.771484375
11,7,full_dim,128,4,512,4bit,0.00018878972709803719,0.01078916002036781,9.398123467859076e-05,0.010771570404321338,0.9189453125
12,0,oracle,64,4,256,2bit,0.001710281120316245,0.03270654940973126,0.0008586143883634696,0.03269952061023703,0.712890625
12,0,transfer,64,4,256,2bit,0.005707563504819973,0.06024698101074321,0.0015865059208005545,0.043656766731135305,0.63671875
12,0,full_dim,128,2,256,2bit,0.01344342380906131,0.09202365200178468,0.006665960311486296,0.09181207969050863,0.4423828125
12,0,oracle,64,8,512,4bit,0.000727181113104228,0.021288942835381054,0.0003730186774605218,0.021489225317009926,0.7626953125
12,0,transfer,64,8,512,4bit,0.005070267696688384,0.05715305243977315,0.001237642462252673,0.037992729186667545,0.6435546875
12,0,full_dim,128,4,512,4bit,0.0005308949899994922,0.018244975033279452,0.0002640024533990907,0.01819554458057862,0.8564453125
12,1,oracle,64,4,256,2bit,0.00067700575178997,0.020738229334995667,0.0003226533282221311,0.020074346253191964,0.798828125
12,1,transfer,64,4,256,2bit,0.0026290609964351314,0.041154360715943306,0.0007358246932725067,0.029836118859981484,0.677734375
12,1,full_dim,128,2,256,2bit,0.004721174314557933,0.05431881176956871,0.002367199742927889,0.05438831462474744,0.5693359375
12,1,oracle,64,8,512,4bit,0.0004060971815981484,0.016089294269066277,0.00018307751039599288,0.015038102845497722,0.8271484375
12,1,transfer,64,8,512,4bit,0.0023973808364750795,0.03949517120387798,0.0006120062917197504,0.02713334056952116,0.7158203125
12,1,full_dim,128,4,512,4bit,0.0001863386892243173,0.010790606953110932,9.290081679088683e-05,0.010773621469102376,0.90234375
12,2,oracle,64,4,256,2bit,0.00272535256220609,0.04149210589368306,0.0013981875480367648,0.04176152731451402,0.7626953125
12,2,transfer,64,4,256,2bit,0.009847895407561518,0.0760880674446695,0.004503318005281963,0.07244814558584692,0.6005859375
12,2,full_dim,128,2,256,2bit,0.01410583755270758,0.0931788425111646,0.006912971492535359,0.09222525617583911,0.5693359375
12,2,oracle,64,8,512,4bit,0.0019100395989289443,0.034597968187885575,0.000987342014819981,0.03495109635899295,0.791015625
12,2,transfer,64,8,512,4bit,0.009149744855531362,0.0730214052119021,0.0041351519323239595,0.06910305834589481,0.6142578125
12,2,full_dim,128,4,512,4bit,0.0005697744618236313,0.01878956228252357,0.00028654267419568076,0.018831793387924997,0.8935546875
12,3,oracle,64,4,256,2bit,0.0021710519015493215,0.03629883767428956,0.0012458810248616081,0.03840086115568109,0.8662109375
12,3,transfer,64,4,256,2bit,0.007984082497131699,0.06510651933071714,0.003292040669846253,0.05878075234979646,0.837890625
12,3,full_dim,128,2,256,2bit,0.018973715503603203,0.10540809938248896,0.009677329304942868,0.10576751000299336,0.7529296875
12,3,oracle,64,8,512,4bit,0.0007479902776486866,0.021019735524400025,0.0004279629407670536,0.021844650560155103,0.9208984375
12,3,transfer,64,8,512,4bit,0.006810163675288261,0.0582055166240551,0.002775488533989911,0.052348520476505234,0.84765625
12,3,full_dim,128,4,512,4bit,0.0008163077996917929,0.022050082045703516,0.00041312328803414406,0.022213765037814144,0.970703125
12,4,oracle,64,4,256,2bit,0.0037574282575388303,0.048525562054151004,0.002003432232378287,0.04998712687231276,0.67578125
12,4,transfer,64,4,256,2bit,0.009653035827164239,0.07597393291660595,0.0038219986463331676,0.06678584009146941,0.5791015625
12,4,full_dim,128,2,256,2bit,0.019035124912523658,0.10861563225638013,0.0094762117006064,0.1083115535280053,0.466796875
12,4,oracle,64,8,512,4bit,0.0026041750822685433,0.04027523817165238,0.001414439503832612,0.04186717854037028,0.7177734375
12,4,transfer,64,8,512,4bit,0.008720610041295936,0.07191087095987891,0.0033935633873512653,0.06255514301888263,0.5986328125
12,4,full_dim,128,4,512,4bit,0.0007377881062929563,0.02147774440600072,0.00037508026839944456,0.02168180811543084,0.888671875
12,5,oracle,64,4,256,2bit,0.0004226245052298351,0.016116473966135594,0.000208810600675168,0.01599580892960952,0.828125
12,5,transfer,64,4,256,2bit,0.0007890562296096665,0.022097434272245763,0.00030617204435618963,0.019318123509765882,0.767578125
12,5,full_dim,128,2,256,2bit,0.004497912613260352,0.05201975789803418,0.0021867316836719974,0.05136341053474808,0.611328125
12,5,oracle,64,8,512,4bit,0.00012351099892516705,0.0087195603501228,5.894019622425005e-05,0.0084457670438256,0.8837890625
12,5,transfer,64,8,512,4bit,0.0004904865690345467,0.01737704311400559,0.00016482250451096704,0.014068945137438737,0.80078125
12,5,full_dim,128,4,512,4bit,0.00017538709136751394,0.01029688643252112,8.775770211244256e-05,0.01029706161828814,0.900390625
12,6,oracle,64,4,256,2bit,0.0016398494147972147,0.031691358033959234,0.0008491438124522532,0.03226766530670555,0.7529296875
12,6,transfer,64,4,256,2bit,0.007237988443892496,0.06538239811243265,0.0022799313605811862,0.05128849130591813,0.6318359375
12,6,full_dim,128,2,256,2bit,0.012172625550741153,0.0868623373592603,0.006009358457281469,0.0862648780610436,0.5009765625
12,6,oracle,64,8,512,4bit,0.0008976131115208518,0.022784332309688078,0.0004799766333046222,0.02356694685305899,0.7919921875
12,6,transfer,64,8,512,4bit,0.006635201168489672,0.06216423603689761,0.0019842539420079795,0.047319211096279956,0.6640625
12,6,full_dim,128,4,512,4bit,0.0005093703560362885,0.017810650761155688,0.0002533407840807172,0.017768649920562637,0.869140625
